"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Review","Short note","Advanced note","Signed","Condition","Number of copies","Quotes","Flashcards","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Edition","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase Type","Purchase From","Purchase Price","Purchase Date","Transfer Type","Transfer place","Transfer Price","Transfer Date","Description","Date added"
"128174","9780143117001","My books","Own",0,"2025-05-01",,349,0,,,,,0,,1,"","","Collapse","How Societies Choose to Fail or Succeed: Revised Edition","en","History,Civilization,Anthropology","Jared Diamond","","","","","","Penguin Books",608,"2011-01-04","paperback",,,,,,,,,,,,,,,,"In Jared Diamond’s follow-up to the Pulitzer-Prize winning Guns, Germs and Steel, the author explores how climate change, the population explosion and political discord create the conditions for th...","2025-08-17"
"42528","9780345545954","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","The City (with bonus short story The Neighbor)","A Novel","en","Literary,Suspense,Romance","Dean Koontz","","","","","","Bantam",544,"2015-02-24","paperback",,,,,,,,,,,,,,,,"NEW YORK TIMES BESTSELLER • Includes Dean Koontz’s short story “The Neighbor”—first time in print!

Dean Koontz is at the peak of his acclaimed powers with this major new novel.

A young boy, a mus...","2025-08-17"
"128242","9780836217179","My books","Own,Read",0,,,112,1,5,,,,0,,1,"","","The Chickens are Restless",,"en","Graphic Novels, Anime & Manga,Humour","Gary Larson","","","","","","Andrews McMeel Publishing",112,"1993-10-01","paperback",,"Far Side Collection",14,,,,,,,,,,,,,"A collection of cartoons by the American creator of the Far Side, whose demonic and subtle views of the fauna of our planet have made him one of the world's best selling cartoonists.
1993 FarWorks,...","2025-08-19"
"4380006","9781645585930","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","Brain Games Mini - Games and Puzzles on the Go: Make Trips More Fun with Puzzles and Games","Make Trips More Fun with Puzzles and Games","en","Hobbies & Games,Puzzle Books","Publications International LTD,Brain Games","","","","","","Publications International, Ltd.",256,"2021-02-18",,,,,,,,,,,,,,,,,"Travel trivia, games, and morefamily funto make the miles fly by!
This activity book is chock-full of mazes, puzzles, word searches, and travel games.
You'll find suggestions and explanations for g...","2025-08-17"
"37058","9780316387316","My books","Library",0,"2025-08-13",,118,0,,,,,0,,1,"","","The Blade Itself (The First Law, #1)",,"en","Fantasy","Joe Abercrombie","","","","","","Orbit",503,"2015-09-08","paperback",,,,,,,,,,,,,,,,"The first novel in the First Law Trilogy and debut novel from New York Times bestseller, Joe Abercrombie.

Logen Ninefingers, infamous barbarian, has finally run out of luck. Caught in one feud too...","2025-08-17"
"3925949","9780345320711","My books","Own,To read,Read",0,,,0,0,,,,,0,,1,"","","THE BICENTENNIAL MAN",,"en","NON-CLASSIFIABLE","Isaac Asimov","","","","","","Del Rey",224,"1985-01-12","paperback",,,,,,,,,,,,,,,,"Andrew was one of Earth's first house robot domestic servants—smoothly designed and functional. But when Andrew started to develop special talents which exceeded the confines of his allotted positr...","2025-08-17"
"1650139","9780312336561","My books","Own,Read",0,,,0,0,,,,,0,,1,"","","The Best of the Best: 20 Years of the Year's Best Science Fiction","20 Years of the Year's Best Science Fiction","en","Anthologies (non-poetry),Science Fiction","Robert Silverberg","","","Gardner Dozois","","","St. Martin's Griffin",655,"2005-02-01","paperback",,,,,,,,,,,,,,,,"For years, The Year's Best Science Fiction has been the most widely read short science fiction anthology of its kind. Now, after twenty-one annual collections, comes the ultimate in science fiction...","2025-08-17"
"34077","9780684853505","My books","",0,,,0,0,,,,,0,,1,"","","Bag of Bones",,"en","Horror","Stephen King","","","","","","Scribner Book Company",529,"1998-09-22","hardcover",,,,,,,,,,,,,,,,"From the Flap:

Stephen King's most gripping and unforgettable novel, Bag of Bones, is a story of grief and a lost love's enduring bonds, of a new love haunted by the secrets of the past, of an inn...","2025-08-17"
"437612","9780425195482","My books","Own,Read",0,,,448,1,2.5,,,,0,,1,"","","The Bad Place",,"en","Suspense & Thriller,Suspense","Dean Koontz","","","","","","Berkley",448,"2004-07-06","paperback",,,,,,,,,,,,,,,,"Frank Pollard is afraid to fall asleep. Every morning when he awakes, he discovers something strange--like blood on his hands--a bizarre mystery that tortures his soul. Two investigators have been ...","2025-08-19"
"653600","9780836217582","My books","Own,To read",0,,,0,0,,,,,0,,1,"","","Always Postpone Meetings with Time-Wasting Morons (Dilbert #1)",,"en","Humour,Cartoons & Comic Strips","Scott Adams","","","","","","Andrews McMeel Publishing",112,"1994-03-03","paperback",,"Dilbert",1,,,,,,,,,,,,,"From mountain and valley, from hill and dale, people are asking, ""How can I have more Dilbert in my life?"" Help is at hand with a blast from the past in Scott Adams' very first compilation of Dilbe...","2025-08-17"
"177250","9780553593068","My books","Own,Read",0,,,720,1,2.5,,,,0,,1,"","","77 Shadow Street (with bonus novella The Moonlit Mind)","A Novel","en","Suspense & Thriller,Thrillers,Suspense","Dean Koontz","","","","","","Bantam",720,"2012-08-28","paperback",,"Pendleton",1,,,,,,,,,,,,,"#1 NEW YORK TIMES BESTSELLER

Welcome to the Pendleton. Built as a tycoon’s dream home in the 1880s and converted to luxury condominiums not quite a century later, the Gilded Age palace at the summ...","2025-08-19"
"64718","9780307743671","My books","Own,Read",0,,,672,1,4,,,,0,,1,"","","'Salem's Lot",,"en","Gothic & Horror,Suspense,Suspense & Thriller","Stephen King","","","","","","Anchor",672,"2011-12-27","paperback",,,,,,,,,,,,,,,,"Ben Mears has returned to Jerusalem's Lot in the hopes that living in an old mansion, long the subject of town lore, will help him cast out his own devils and provide inspiration for his new book. ...","2025-08-19"
